富邦�琤肭磪囓�2,00665L.TW,14.48,6.09,8.07,0.4427
富邦NASDAQ正2,00670L.TW,85.27,23.89,56.85,0.3333
元大美債20正2,00680L.TW,19.1,5.42,11.06,0.4209
期元大美元指反1,00684R.TW,17.33,1.39,15.8,0.0883
國泰20年美債正2,00688L.TW,19.02,5.45,10.95,0.4243
兆豐藍籌30,00690.TW,30.64,2.98,27.08,0.1162
國泰股利精選30,00701.TW,24.41,1.64,22.34,0.0848
期元大S&P日圓正2,00706L.TW,12.96,2.75,9.5,0.267
FH彭博新興債,00711B.TW,18.18,1.98,15.95,0.1227
FH富時不動產,00712.TW,12.66,1.59,10.37,0.1809
群益道瓊美國地產,00714.TW,21.0,1.48,19.02,0.0943
期元大道瓊白銀,00738U.TW,23.63,2.75,20.69,0.1244
國泰北美科技,00770.TW,33.36,4.3,26.75,0.1981
新光投等債15+,00775B.TW,38.14,3.79,33.15,0.1308
國泰美國道瓊正2,00852L.TW,19.96,1.7,18.21,0.0877
國泰網路資安,00875.TW,28.88,2.79,25.61,0.1132
中信中國高股息,00882.TW,13.66,1.62,11.97,0.1237
富邦越南,00885.TW,15.02,2.12,11.22,0.253
富邦基因免疫生技,00897.TW,10.43,2.0,7.91,0.2416
富邦入息REITs+,00908.TW,14.04,0.75,13.25,0.0563
土銀富邦R1,01001T.TW,17.1,0.59,15.66,0.0842
土銀富邦R2,01004T.TW,15.74,0.51,14.81,0.0591
兆豐國泰R2,01007T.TW,18.88,0.63,17.71,0.062
桂盟,5306.TW,175.27,23.45,150.5,0.1413
南六,6504.TW,104.44,28.05,73.5,0.2962
日友,8341.TW,187.35,20.27,164.5,0.122
昶昕,8438.TW,37.26,10.09,25.4,0.3183
美吉吉-KY,8466.TW,48.72,5.92,40.5,0.1687
美利達,9914.TW,252.12,47.66,180.0,0.2861
康那香,9919.TW,23.04,5.48,17.5,0.2405
巨大,9921.TW,266.69,41.55,204.5,0.2332
